2026-04-23 02:26:59,940 | INFO | SalesProducer | Producer started on topic 'sales.transactions.live' at 10 sales/sec
2026-04-23 02:26:59,941 | INFO | RevenueConsumer | Consumer started — tracking high-value sales on partition 0
2026-04-23 02:26:59,942 | INFO | MetricsConsumer | Consumer started — aggregating metrics on partition 1
2026-04-23 02:26:59,942 | INFO | AuditConsumer | Consumer started — logging all sales to data\reports\sales_events_live.jsonl
2026-04-23 02:27:03,578 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000037 | GHS 1,101.48 | Health & Beauty | In-Store
2026-04-23 02:27:26,835 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000268 | GHS 1,480.70 | Groceries | Online
2026-04-23 02:27:28,949 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000289 | GHS 1,062.97 | Electronics | In-Store
2026-04-23 02:27:30,457 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000304 | GHS 1,294.66 | Groceries | Mobile App
2026-04-23 02:27:31,663 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000316 | GHS 544.40 | Electronics | In-Store
2026-04-23 02:27:32,569 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000325 | GHS 1,557.57 | Home & Garden | Mobile App
2026-04-23 02:27:33,173 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000331 | GHS 988.44 | Clothing | Online
2026-04-23 02:27:34,379 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000343 | GHS 1,373.89 | Automotive | Online
2026-04-23 02:27:36,793 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000367 | GHS 588.78 | Electronics | Online
2026-04-23 02:27:38,301 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000382 | GHS 738.29 | Groceries | Online
2026-04-23 02:27:40,414 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000403 | GHS 509.20 | Electronics | In-Store
2026-04-23 02:27:41,622 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000415 | GHS 1,076.81 | Clothing | Mobile App
2026-04-23 02:27:43,747 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000436 | GHS 643.85 | Sports | Online
2026-04-23 02:27:45,258 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000451 | GHS 884.11 | Clothing | In-Store
2026-04-23 02:27:47,677 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000475 | GHS 637.13 | Clothing | Online
2026-04-23 02:27:51,005 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000508 | GHS 561.24 | Electronics | Online
2026-04-23 02:27:52,212 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000520 | GHS 850.83 | Electronics | Mobile App
2026-04-23 02:27:52,817 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000526 | GHS 699.41 | Sports | Online
2026-04-23 02:27:53,119 | INFO | RevenueConsumer | HIGH VALUE SALE | SALE-LIVE-000000529 | GHS 781.62 | Home & Garden | Online
2026-04-23 02:27:59,961 | INFO | SalesProducer | Producer finished — published 596 sales events
